"The payment is AUTHORIZED by Mozg.","O pagamento foi AUTORIZADO pela Mozg."
"There has an error occurred with your Mozg payment.","Houve um erro com seu pagamento Mozg."
"There was an error with your payment.","Houve um erro com seu pagamento."
"You will be redirected to Mozg website when you place an order.","Você será redirecionado ao site do Payment quando realizar a compra."
"Your payment is cancelled.","Seu pagamento foi cancelado."
"Your payment is CANCELLED","Seu pagamento foi CANCELADO."
"Your payment is pending.","Seu pagamento encontra-se pendente."
"Your payment is refused.","Seu pagamento foi recusado."
"Your payment is authorized.","Seu pagamento foi autorizado."
"Remember these details","Armazenar estes dados"
"Choose Your Bank","Escolha seu banco"
"You chose an invalid bank","Você escolheu um banco inválido"
"You have cancelled the order. Please try again", "Você cancelou a compra. Por favor, tente novamente."
"Bank account holder name","Banco nome do titular da conta"
"IBAN","IBAN"
"I agree that the above amount will be debited from my bank account.", "Concordo que o montante acima referido será debitado da minha conta bancária."
"Invalid Iban number.","Iban número inválido."
"POS Payment","O pagamento POS"
"Payment","Pagamento"
"If you stuck on this page please press the payment button","Se você estiver preso nesta página, por favor pressione o botão de pagamento"
"Click here to pay for your purchase", "Clique aqui para pagar por sua compra"
"Please accept the conditions for a SEPA direct debit.", "Por favor, aceite as condições para um débito direto SEPA."
"Shopper Details", "Detalhes do comprador"
"Save Card", "Salvar cartão"
"There are no saved cards for this account.", "Não há cartões guardados para essa conta."
"This is a new Customer", "Este é um novo cliente"
"You will be redirected to Mozg app when you place an order.", "Você será redirecionado ao app da Mozg quando realizar a compra."
"Boleto PDf: <a target=""_blank"" href=""%s"" title=""Payment URL"">Download</a>", "Boleto: <a target=""_blank"" href=""%s"" title=""Boleto"">Visualizar</a>"
"Itáu PSP Reference: <a href=""%s"" target=""_blank"">%s</a>","Referência do pagamento: <a href=""%s"" target=""_blank"">%s</a>"
"Firstname: %s", "Primeiro nome: %s"
"Lastname: %s'", "Sobrenome: %s"
"Social Security Number", "CPF/CNPJ"
"If you are using Mozg CreditCard payment method it could be that the notifcation that is send from the Mozg Platform is faster then Magento saves the order. The notification is saved and when a new notification is send it will try to update the previous notification as well. You can see here what notifications did not processed yet and you can proccess it here manual if you want to by selecting ""Execute"" under the Actions column","Se você estiver usando o método de pagamento Mozg CreditCard pode ser que a notificação que é enviada a partir da Plataforma Mozg é mais rápido, onde o Magento salva o pedido. A notificação é salva e quando há uma nova notificação é enviádo para tentar atualizar a notificação anterior também. Você pode ver aqui que as notificações ainda não foram processadas e você pode proccessa-las aqui manual se você desejar, selecionando ""Executar"" na coluna Ações"
"<a href=""%s"">Click here to download the Boleto payment PDF</a>","<a href=""%s"">Clique aqui para visualizar o Boleto</a>"
"<a href=""%s"">Click here to process the EletronicTransfer payment</a>","<a href=""%s"">Clique aqui para processar a transferência eletrônica</a>"
"Social Security Number: %s","Documento: %s"
"Firstname: %s","Nome: %s"
"Lastname: %s","Sobrenome: %s"
"Authenticate","Autenticar"
"EletronicTransfer PDF: <a target=""_blank"" href=""%s"">Download</a>","Transferência Eletrônica: <a target=""_blank"" href=""%s"">Visualizar</a>"
"Payment URL: <a target=""_blank"" href=""%s"">Download</a>","Boleto: <a target=""_blank"" href=""%s"">Visualizar</a>"
"AUTHORISATION : TRUE","AUTORIZAÇÃO : TRUE"
"PENDING : TRUE","PENDENTE : TRUE"
